website,price,expenses,address,size,bedrooms,bathrooms,url,listing_url
https://www.zonaprop.com.ar,$ 2.222.000,,"Migueletes 1600, Piso 8°",135,3,2,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-4.html,https://www.zonaprop.com.ar/propiedades/departamento-belgrano-chico-52848237.html
https://www.zonaprop.com.ar,Consultar precio,,Guido  al 1900,140,3,2,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-4.html,https://www.zonaprop.com.ar/propiedades/departamento-en-recoleta-alquiler-temporario-52194452.html
https://www.zonaprop.com.ar,$ 6.000.000,,Jeronimo Salguero al 3000,150,3,2,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-4.html,https://www.zonaprop.com.ar/propiedades/salguero-design-departamento-de-lujo-en-palermo-52791423.html
https://www.zonaprop.com.ar,$ 7.500.000,,Azucena Villaflor 500,216,3,3,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-4.html,https://www.zonaprop.com.ar/propiedades/espectacular-4amb-dep.-a-estrenar-en-alvear-tower-52649235.html
https://www.zonaprop.com.ar,$ 12.180.000,,Azucena Villaflor al 500,250,3,3,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-4.html,https://www.zonaprop.com.ar/propiedades/4amb-dependencia-amueblado-en-alvear-tower-piso-52627679.html
https://www.zonaprop.com.ar,Consultar precio,,Demaria al 4500,400,4,5,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-4.html,https://www.zonaprop.com.ar/propiedades/departamento-palermo-chico-50416649.html
https://www.zonaprop.com.ar,$ 2.300.000,$ 60.000,Av Cramer 3065,175,3,2,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-5.html,https://www.zonaprop.com.ar/propiedades/excelente.-departamento-4-ambientes-con-cochera.-zona-50544200.html
https://www.zonaprop.com.ar,Consultar precio,,Libertad al 1000,197,3,2,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-5.html,https://www.zonaprop.com.ar/propiedades/piso-de-tres-dorm.-amoblado-de-gran-categoria-en-52857852.html
https://www.zonaprop.com.ar,$ 1.550.000,$ 30.000,,212,3,2,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-5.html,https://www.zonaprop.com.ar/propiedades/semipiso-exclus.-212-m-sup2--zona-pza-arenales-50057817.html
https://www.zonaprop.com.ar,Consultar precio,,Marta Lynch  al 400,209,3,2,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-5.html,https://www.zonaprop.com.ar/propiedades/departamento-en-alquiler-amoblado-torre-renoir-en-52846149.html
https://www.zonaprop.com.ar,Consultar precio,$ 120.000,,88,3,not found,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-5.html,https://www.zonaprop.com.ar/propiedades/alquiler-deptos-a-estrenar-4-amb-con-cochera-sum-52649362.html
https://www.zonaprop.com.ar,Consultar precio,,Juncal al 3100,285,4,3,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-5.html,https://www.zonaprop.com.ar/propiedades/departamento-palermo-52620712.html
https://www.zonaprop.com.ar,$ 410.000,,,92,3,not found,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-5.html,https://www.zonaprop.com.ar/propiedades/alquiler-4-ambientes-en-monserrat-sin-garantia-52841452.html
https://www.zonaprop.com.ar,Consultar precio,,Posadas. 3-4dormitorios. Balcón. Cochera,203,3,3,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-5.html,https://www.zonaprop.com.ar/propiedades/alquiler-con-o-sin-muebles-52793729.html
https://www.zonaprop.com.ar,$ 5.760.000,$ 100.000,Guatemala al 5100,335,4,7,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-5.html,https://www.zonaprop.com.ar/propiedades/alquiler-torre-bella-5-amb-335-m-piso-altisimo-52636569.html
https://www.zonaprop.com.ar,Consultar precio,,Ramsay al 2000,390,5,5,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-5.html,https://www.zonaprop.com.ar/propiedades/departamento-en-en-forum-alcorta-52307089.html
